year,county_fips,diabetes_percentage,diabetes_lower_limit,diabetes_upper_limit
2010,17117,8.8,6.6,11.6
2010,17119,10.2,8.5,12.1
2010,17121,6.8,5,8.9
2010,17123,8.2,5.7,11.2
2010,17125,8.2,5.8,11.1
2010,17127,9.4,6.8,12.7
2010,17109,8.5,6.2,11.6
2010,17111,6.9,5.3,8.7
2010,17113,8.9,6.8,11.4
2010,17129,8.1,5.6,11
2010,17131,8.1,5.7,11
2010,17133,8.3,6.1,11
2010,17135,8.1,5.8,10.7
2010,17137,8.5,6.2,11.5
2010,17139,7.9,5.7,10.9
2010,17141,8.5,6,11.2
2010,17143,8.8,6.8,11.1
2010,17145,8.5,6,11.7
2010,17147,8.6,6.1,11.9
2010,17149,8,5.6,11
2010,17151,8.4,5.9,11.4
2010,17153,10.1,7.5,13.4
2010,17155,8.2,5.7,11.3
2010,17157,7.8,5.7,10.3
2010,17159,8.2,5.9,11
2010,17161,8.1,6.2,10.4
2010,17165,8.9,6.3,12.2
2010,17167,9.5,7.5,11.7
2010,17169,8,5.7,10.9
2010,17171,8.2,5.8,11.2
2010,17173,7.7,5.6,10.3
2010,17163,10.4,8.6,12.3
2010,17175,7.8,5.4,10.8
2010,17177,9.5,7,12.6
2010,17179,7.5,5.6,9.7
2010,17181,8.3,5.9,11.2
2010,17183,9,6.8,11.7
2010,17185,8.2,5.8,11.5
2010,17187,8.8,6.3,11.9
2010,17189,8.5,6.1,11.4
2010,17191,8.3,5.7,11.5
2010,17193,7.6,5.3,10.5
2010,17195,8.6,6.3,11.4
2010,17197,9.6,8.1,11.4
2010,17199,7.5,5.5,10.1
2010,17201,9.6,7.6,11.7
2010,17203,7.8,5.7,10.4
2010,18001,7.9,5.9,10.3
2010,18003,9.8,8.6,11
2010,18005,9.3,7.3,11.6
2010,18007,10.4,7.5,13.8
2010,18009,10.2,7.7,13.1
2010,18011,7.7,5.7,9.9
2010,18013,9.6,6.9,12.6
2010,18015,8.8,6.5,11.6
2010,18017,8.8,6.7,11.4
2010,18019,9.5,7.5,11.8
2010,18021,9.3,7,12
2010,18023,12.1,9.3,15.4
2010,18025,10.4,7.9,13.1
2010,18027,10,7.6,12.9
2010,18029,9,6.9,11.5
2010,18031,9,6.6,11.6
2010,18033,8.8,6.7,11.2
2010,18035,9.9,8,11.9
2010,18037,8.3,6.3,10.8
2010,18039,8.8,7.3,10.4
2010,18041,9.8,7.2,12.8
2010,18043,8.9,6.8,11.1
2010,18045,10.2,7.8,13.1
2010,18047,11.5,8.8,14.7
2010,18049,9,6.9,11.4
2010,18051,8.9,6.8,11.4
2010,18053,11.3,9.1,13.8
2010,18055,11.5,8.8,14.5
2010,18057,7.6,6.2,9.1
2010,18059,8.6,6.6,10.9
2010,18061,9.6,7.3,12.4
2010,18063,8.6,6.9,10.5
2010,18065,9.1,6.9,11.5
2010,18067,11.1,9.1,13.6
2010,18069,10.9,8.6,13.6
2010,18071,9.1,6.9,11.7
2010,18073,10.4,7.7,13.5
2010,18075,10.6,8.3,13.3
2010,18077,9.4,7.1,12
2010,18079,9.4,6.9,12.3
2010,18081,9.9,7.9,12
2010,18083,8.9,6.8,11.3
2010,18085,9.7,7.6,12
2010,18087,10.2,8.1,12.6
2010,18089,11.3,10.3,12.5
2010,18091,9.2,7.6,11.2
2010,18093,11.9,9.4,14.8
2010,18095,11,9.2,13.1
2010,18097,10.6,9.8,11.4
2010,18099,9,6.9,11.5
2010,18101,8.6,6.3,11.3
2010,18103,10.3,8,13.2
2010,18105,9.9,8,12
2010,18107,9.2,7,11.7
2010,18109,9.3,7.1,11.8
2010,18111,9.9,7.2,13.2
2010,18113,9.3,7.3,11.7
2010,18115,9.3,6.6,12.6
2010,18117,10.5,8.2,13.1
2010,18119,9.3,6.8,12.4
2010,18121,10.5,8,13.3
2010,18123,8.4,6.5,10.5
2010,18125,9.8,7.3,12.9
2010,18127,9.1,7.3,11.2
2010,18129,9.1,6.8,11.8
2010,18131,10.2,7.9,13.2
2010,18133,11,8.3,14.2
2010,18135,10.9,8.8,13.3
2010,18137,8.1,6.3,10.1
2010,18139,9.6,7.2,12.2
2010,18143,10.5,7.8,13.6
2010,18145,10.1,7.6,12.9
2010,18147,9,7,11.4
2010,18141,8.8,7.6,10.1
2010,18149,10.2,7.9,12.7
2010,18151,11.2,8.6,14
2010,18153,9.8,7.3,12.8
2010,18155,10,7.5,13
2010,18157,10.2,8.3,12.3
2010,18159,10.4,7.5,13.8
2010,18161,10,7.5,12.9
2010,18163,9.8,8.2,11.5
2010,18165,10.6,7.8,13.8
2010,18167,8.4,6.7,10.3
2010,18169,11.1,8.5,14
2010,18171,10.4,7.6,13.6
2010,18173,9.1,7.2,11.4
2010,18175,9.2,6.7,12.1
2010,18177,8.1,6.4,10.1
2010,18179,9.2,7,11.7
2010,18181,8.8,6.8,11
2010,18183,7.9,5.9,10.3
2010,19001,8.5,6.2,11.6
2010,19003,7.2,5.1,9.7
