year,county,county_fips,diabetes_percentage,pct_american_indian_or_alaska_native,pct_asian_or_pacific_islander,pct_black_or_african_american,pct_white,pct_hispanic_or_latino,pct_not_hispanic_or_latino,pct_20-44,pct_45-64,pct_65-74,pct_75+,adult_smoking_percent,adult_obesity_percent,physical_inactivity_percent,rural
2011,chatham,37037,8.3,0.82,1,10.6,64.22,7.13,69.5,27.23,30.1,10.57,8.73,22.1,25.9,21.2,FALSE
2012,chatham,37037,8.7,0.85,1.06,10.66,64.36,7.12,69.82,26.67,29.92,11.5,8.85,20,24.8,22.3,FALSE
2013,chatham,37037,9.3,0.84,1.18,10.6,64.64,7.06,70.2,26.2,29.74,12.25,9.06,20.4,24.8,22.3,FALSE
2014,chatham,37037,8.9,0.84,1.43,10.41,64.78,6.99,70.47,26.02,29.55,12.72,9.16,20.4,25.7,21.2,FALSE
2010,cherokee,37039,10.5,1.27,0.4,1.15,76,1.51,77.31,24.57,31.16,14,9.09,28.4,24.7,NA,TRUE
2011,cherokee,37039,10.5,1.3,0.42,1.16,76.38,1.53,77.73,24.26,31.11,14.54,9.35,24.8,25.2,25.4,TRUE
2012,cherokee,37039,11.1,1.34,0.41,1.12,76.78,1.64,78.02,23.98,30.53,15.4,9.75,24.1,26.7,27.5,TRUE
2013,cherokee,37039,9.7,1.39,0.44,1.14,76.93,1.7,78.19,23.94,30.12,15.88,9.95,23.4,26.7,27.5,TRUE
2014,cherokee,37039,8.9,1.41,0.45,1.17,77.34,1.71,78.66,23.78,29.68,16.58,10.34,25.1,27.5,30.1,TRUE
2010,chowan,37041,11.2,0.28,0.47,24.7,50.13,1.94,73.65,25.74,30.13,10.79,8.94,26.1,30.2,NA,TRUE
2011,chowan,37041,11.3,0.29,0.62,24.84,50.21,1.92,74.03,25.89,30.07,10.85,9.14,28,30,28.4,TRUE
2012,chowan,37041,11,0.29,0.81,25.02,50.23,1.83,74.53,25.76,29.72,11.53,9.34,NA,30.1,29.5,TRUE
2013,chowan,37041,10.4,0.29,0.8,25.22,50.17,1.86,74.63,25.92,29.15,12.03,9.39,NA,30.1,29.5,TRUE
2014,chowan,37041,11.2,0.32,0.81,25.13,50.57,1.84,75,25.72,28.91,12.64,9.56,29.9,30,29.2,TRUE
2010,clay,37043,8.3,0.27,0.21,0.63,78.38,1.5,78,23.84,31.85,13.68,10.12,24.2,24.6,NA,TRUE
2011,clay,37043,8.3,0.3,0.22,0.79,78.22,1.52,78.01,23.85,31.12,14.21,10.35,23.6,25.4,25.2,TRUE
2012,clay,37043,9.2,0.31,0.24,0.81,78.27,1.6,78.04,23.49,30.49,15.33,10.32,23,25.1,24.3,TRUE
