county_fips,year,adult_smoking_percent,adult_obesity_percent,physical_inactivity_percent,food_environment_index
13049,2010,NA,29.9,NA,NA
13051,2010,20.5,28.7,NA,NA
13053,2010,NA,29.7,NA,NA
13055,2010,28.7,25.8,NA,NA
13057,2010,20.7,23.3,NA,NA
13059,2010,13.6,25.7,NA,NA
13061,2010,NA,33.1,NA,NA
13063,2010,21.3,30.7,NA,NA
13065,2010,NA,30.3,NA,NA
13067,2010,16.2,23.8,NA,NA
13069,2010,26.7,31.1,NA,NA
13071,2010,29.8,30.3,NA,NA
13073,2010,20.4,26.7,NA,NA
13075,2010,21.8,29.8,NA,NA
13077,2010,20.7,28.7,NA,NA
13079,2010,18.7,30.1,NA,NA
13081,2010,19.7,31.4,NA,NA
13083,2010,NA,27.3,NA,NA
13085,2010,27,26.2,NA,NA
13087,2010,19.1,32.1,NA,NA
13089,2010,15.5,27.4,NA,NA
13091,2010,23,30.3,NA,NA
13093,2010,NA,32.5,NA,NA
13095,2010,20.7,31.1,NA,NA
13097,2010,17.4,27.3,NA,NA
13099,2010,NA,30.3,NA,NA
13101,2010,NA,28.8,NA,NA
13103,2010,23.6,29.1,NA,NA
13105,2010,29.7,29.8,NA,NA
13107,2010,23.2,31.4,NA,NA
13109,2010,17,30.1,NA,NA
13111,2010,26.2,25.8,NA,NA
13113,2010,14.1,24.6,NA,NA
13115,2010,19.3,31.9,NA,NA
13117,2010,15.5,24.6,NA,NA
13119,2010,23.2,26.8,NA,NA
13121,2010,16.8,23.2,NA,NA
13123,2010,30.7,25.2,NA,NA
13125,2010,NA,26.6,NA,NA
13127,2010,23.7,29.1,NA,NA
13129,2010,25.5,27.5,NA,NA
13131,2010,24.2,31.3,NA,NA
13133,2010,11.3,30.2,NA,NA
13135,2010,16.9,25.6,NA,NA
13137,2010,21.5,25.9,NA,NA
13139,2010,19.1,24.4,NA,NA
13141,2010,NA,34.7,NA,NA
13143,2010,NA,26.7,NA,NA
13145,2010,19.4,30,NA,NA
13147,2010,25.9,27.8,NA,NA
13149,2010,NA,27.5,NA,NA
13151,2010,20.7,30.8,NA,NA
13153,2010,23.3,30.8,NA,NA
13155,2010,NA,30.6,NA,NA
13157,2010,20.2,26.6,NA,NA
13159,2010,NA,30.1,NA,NA
13161,2010,NA,29.7,NA,NA
13163,2010,11.7,35.6,NA,NA
13165,2010,15.9,32,NA,NA
13167,2010,14.3,32.2,NA,NA
13169,2010,NA,29.6,NA,NA
13171,2010,NA,30,NA,NA
13173,2010,NA,29.6,NA,NA
13175,2010,23.1,31.2,NA,NA
13177,2010,20.2,28.3,NA,NA
13179,2010,33.8,29.6,NA,NA
13181,2010,NA,30.5,NA,NA
13183,2010,NA,30.4,NA,NA
13185,2010,25.9,29.3,NA,NA
13187,2010,19.8,26.6,NA,NA
13189,2010,22,30.5,NA,NA
13191,2010,25.6,30,NA,NA
13193,2010,NA,33.1,NA,NA
13195,2010,26.8,26.8,NA,NA
13197,2010,NA,30.2,NA,NA
13199,2010,NA,30.2,NA,NA
13201,2010,NA,29.9,NA,NA
13205,2010,18.1,33.3,NA,NA
13207,2010,NA,29.6,NA,NA
13209,2010,17,29.7,NA,NA
13211,2010,17.3,27.7,NA,NA
13213,2010,30.2,31.4,NA,NA
13215,2010,21.6,30.6,NA,NA
13217,2010,28.4,32.2,NA,NA
13219,2010,17.6,28.2,NA,NA
13221,2010,NA,29,NA,NA
13223,2010,22.7,29.5,NA,NA
13225,2010,20.9,30.3,NA,NA
13227,2010,25.1,25.9,NA,NA
13229,2010,30,30.2,NA,NA
13231,2010,NA,28.4,NA,NA
13233,2010,23.9,27.8,NA,NA
13235,2010,18.5,31.6,NA,NA
13237,2010,23.5,29.1,NA,NA
13239,2010,NA,32.8,NA,NA
13241,2010,19.8,25.5,NA,NA
13243,2010,NA,33.2,NA,NA
13245,2010,24,32.8,NA,NA
13247,2010,16.9,30.8,NA,NA
13249,2010,NA,29.8,NA,NA
13251,2010,14.1,30.9,NA,NA
13253,2010,NA,30.2,NA,NA
13255,2010,21.1,31.7,NA,NA
13257,2010,19.5,29.9,NA,NA
13259,2010,NA,33.1,NA,NA
13261,2010,26.8,28.6,NA,NA
13263,2010,NA,32.9,NA,NA
13265,2010,NA,32.5,NA,NA
13267,2010,26.4,30.8,NA,NA
13269,2010,NA,30.9,NA,NA
13271,2010,24.3,29.5,NA,NA
13273,2010,NA,34.8,NA,NA
13275,2010,23.7,30.5,NA,NA
13277,2010,17.3,32,NA,NA
13279,2010,28.4,29,NA,NA
13281,2010,NA,25.9,NA,NA
13283,2010,NA,30.8,NA,NA
13285,2010,17.4,30.2,NA,NA
13287,2010,NA,31,NA,NA
13289,2010,NA,30.5,NA,NA
13291,2010,17.7,26.6,NA,NA
13293,2010,NA,31,NA,NA
13295,2010,28.5,28.4,NA,NA
13297,2010,20.4,28.5,NA,NA
13299,2010,28.2,28.2,NA,NA
13301,2010,NA,32,NA,NA
13303,2010,NA,31.9,NA,NA
13305,2010,29.9,30.3,NA,NA
13307,2010,NA,31.7,NA,NA
13309,2010,20.8,31.9,NA,NA
13311,2010,22.8,25.9,NA,NA
13313,2010,26.6,29.3,NA,NA
13315,2010,18.6,32.3,NA,NA
13317,2010,NA,29.8,NA,NA
13319,2010,NA,31.4,NA,NA
13321,2010,25,30.2,NA,NA
15001,2010,19.7,21.2,NA,NA
15003,2010,16.8,20.5,NA,NA
15005,2010,NA,23.4,NA,NA
15007,2010,18.3,20.4,NA,NA
15009,2010,19.2,22.6,NA,NA
16001,2010,16.8,22.1,NA,NA
16003,2010,20.3,29.8,NA,NA
16005,2010,17.6,27.4,NA,NA
16007,2010,16.4,24.6,NA,NA
16009,2010,24.2,27.7,NA,NA
16011,2010,16.4,30.9,NA,NA
16013,2010,14.6,15.8,NA,NA
16015,2010,20.2,26.9,NA,NA
16017,2010,20.8,22.5,NA,NA
16019,2010,15.1,26,NA,NA
16021,2010,22,25.6,NA,NA
16023,2010,21.3,25.1,NA,NA
16025,2010,NA,26.8,NA,NA
16027,2010,19.1,28.7,NA,NA
16029,2010,16.4,25.3,NA,NA
16031,2010,15.1,27.3,NA,NA
16033,2010,NA,25.9,NA,NA
16035,2010,23.4,25.7,NA,NA
16037,2010,18.7,26.5,NA,NA
16039,2010,19.9,32.1,NA,NA
16041,2010,8.7,28.9,NA,NA
16043,2010,16.8,22.1,NA,NA
16045,2010,25.9,30.4,NA,NA
16047,2010,22.9,29.2,NA,NA
16049,2010,19.4,28.5,NA,NA
16051,2010,11.1,28,NA,NA
16053,2010,24.4,26.8,NA,NA
16055,2010,21.1,24,NA,NA
16057,2010,15.1,24.2,NA,NA
16059,2010,21.9,26.1,NA,NA
16061,2010,NA,30.1,NA,NA
16063,2010,21.8,26.8,NA,NA
16065,2010,2.8,23.7,NA,NA
16067,2010,16.6,29.9,NA,NA
16069,2010,21.6,29.2,NA,NA
16071,2010,15.3,25.3,NA,NA
16073,2010,27.1,27.2,NA,NA
16075,2010,22.2,29.6,NA,NA
16077,2010,15.6,28.8,NA,NA
16079,2010,27.7,29.3,NA,NA
16081,2010,14.6,20.1,NA,NA
16083,2010,21.3,27.2,NA,NA
16085,2010,23,26.3,NA,NA
16087,2010,19.2,25.6,NA,NA
17001,2010,21.9,25.7,NA,NA
17003,2010,NA,28.4,NA,NA
17005,2010,NA,27.8,NA,NA
17007,2010,16.4,26.2,NA,NA
17009,2010,NA,27.7,NA,NA
17011,2010,23.3,26,NA,NA
17013,2010,NA,26.3,NA,NA
17015,2010,NA,26.3,NA,NA
17017,2010,NA,27.4,NA,NA
17019,2010,18.8,27.6,NA,NA
17021,2010,22.4,26.9,NA,NA
17023,2010,NA,27,NA,NA
17025,2010,NA,27.4,NA,NA
17027,2010,18.1,26.6,NA,NA
17029,2010,16.3,27.2,NA,NA
17031,2010,21.2,23.5,NA,NA
17033,2010,NA,27,NA,NA
17035,2010,NA,27.2,NA,NA
17037,2010,21,26.1,NA,NA
17039,2010,NA,27.6,NA,NA
17041,2010,17.3,27.5,NA,NA
17043,2010,17.3,24,NA,NA
17045,2010,NA,27,NA,NA
17047,2010,NA,26.8,NA,NA
17049,2010,15.2,27.9,NA,NA
17051,2010,NA,27.3,NA,NA
17053,2010,NA,27,NA,NA
17055,2010,29,27.2,NA,NA
17057,2010,28.6,27.1,NA,NA
17059,2010,NA,27,NA,NA
17061,2010,NA,27.5,NA,NA
17063,2010,24.9,27.3,NA,NA
17065,2010,NA,27,NA,NA
17067,2010,NA,26.2,NA,NA
17069,2010,NA,27,NA,NA
17071,2010,NA,27.6,NA,NA
17073,2010,20.1,26.2,NA,NA
17075,2010,23.9,27.3,NA,NA
17077,2010,29.6,28.3,NA,NA
17079,2010,NA,26.7,NA,NA
17081,2010,29.2,27.6,NA,NA
17083,2010,NA,26.6,NA,NA
17085,2010,18.3,27.1,NA,NA
17087,2010,NA,27.1,NA,NA
17089,2010,17.4,27.2,NA,NA
17091,2010,24.1,28.7,NA,NA
17093,2010,20,25.4,NA,NA
17095,2010,21.1,26.8,NA,NA
17097,2010,18,24.2,NA,NA
17099,2010,26.7,27.1,NA,NA
17101,2010,NA,26.1,NA,NA
17103,2010,26.4,27.3,NA,NA
17105,2010,27.3,27.3,NA,NA
17107,2010,NA,28.8,NA,NA
17109,2010,22.5,27.4,NA,NA
17111,2010,23.7,26.5,NA,NA
17113,2010,17,26.9,NA,NA
17115,2010,28,28.7,NA,NA
17117,2010,NA,29.1,NA,NA
17119,2010,24.3,27.8,NA,NA
17121,2010,25.8,27.8,NA,NA
17123,2010,NA,26.6,NA,NA
17125,2010,NA,27.6,NA,NA
17127,2010,NA,26.8,NA,NA
17129,2010,NA,27.2,NA,NA
17131,2010,NA,26.7,NA,NA
17133,2010,15.1,27.1,NA,NA
17135,2010,19.4,26.9,NA,NA
17137,2010,NA,27.4,NA,NA
17139,2010,NA,26.5,NA,NA
17141,2010,22.2,26.7,NA,NA
17143,2010,20.3,28.2,NA,NA
17145,2010,NA,28,NA,NA
17147,2010,NA,26.5,NA,NA
17149,2010,NA,27,NA,NA
17151,2010,NA,27.4,NA,NA
17153,2010,NA,27.8,NA,NA
17155,2010,NA,27,NA,NA
17157,2010,19.5,27.3,NA,NA
17159,2010,NA,27.7,NA,NA
17161,2010,22,26.9,NA,NA
17163,2010,23.8,28.4,NA,NA
17165,2010,NA,27.2,NA,NA
17167,2010,19.7,27.9,NA,NA
17169,2010,NA,26.8,NA,NA
17171,2010,NA,27.1,NA,NA
17173,2010,NA,26.6,NA,NA
17175,2010,NA,26.5,NA,NA
17177,2010,16.8,28.3,NA,NA
17179,2010,26,27.1,NA,NA
17181,2010,NA,27.6,NA,NA
17183,2010,23.7,28.1,NA,NA
17185,2010,NA,26.5,NA,NA
17187,2010,NA,26.8,NA,NA
17189,2010,NA,27.3,NA,NA
17191,2010,NA,27.5,NA,NA
17193,2010,NA,26.5,NA,NA
17195,2010,29.7,25.7,NA,NA
17197,2010,21.2,26.3,NA,NA
17199,2010,22.2,28,NA,NA
17201,2010,24.5,26.1,NA,NA
17203,2010,17.3,27.1,NA,NA
18001,2010,19.3,28.8,NA,NA
18003,2010,23.7,28.9,NA,NA
18005,2010,25.4,29.1,NA,NA
18007,2010,NA,29.1,NA,NA
18009,2010,NA,28.6,NA,NA
18011,2010,17.8,30.3,NA,NA
18013,2010,21.9,27.6,NA,NA
18015,2010,30.1,28.6,NA,NA
18017,2010,24.6,29.9,NA,NA
18019,2010,29.2,29.8,NA,NA
18021,2010,32.9,29.7,NA,NA
18023,2010,20.4,28,NA,NA
18025,2010,NA,29.7,NA,NA
18027,2010,26.8,28.5,NA,NA
18029,2010,NA,27.8,NA,NA
18031,2010,22.5,29.3,NA,NA
