county_fips,pct_rural,rural
18011,43.09,Mostly Urban
18013,100,Rural
18015,77.81,Mostly Rural
18017,45.42,Mostly Urban
18019,21.51,Mostly Urban
18021,59.34,Mostly Rural
18023,49.29,Mostly Urban
18025,100,Rural
18027,54.54,Mostly Rural
18029,59.62,Mostly Rural
18031,55.04,Mostly Rural
18033,39.58,Mostly Urban
18035,22.28,Mostly Urban
18037,49.96,Mostly Urban
18039,18.89,Mostly Urban
18041,31.62,Mostly Urban
18043,18.46,Mostly Urban
18045,64.26,Mostly Rural
18047,77.41,Mostly Rural
18049,61.08,Mostly Rural
18051,51.39,Mostly Rural
18053,27.26,Mostly Urban
18055,62.43,Mostly Rural
18057,11.41,Mostly Urban
18059,36.28,Mostly Urban
18061,86.4,Mostly Rural
18063,28.8,Mostly Urban
18065,41.85,Mostly Urban
18067,18.79,Mostly Urban
18069,49.81,Mostly Urban
18071,42.98,Mostly Urban
18073,60.26,Mostly Rural
18075,53.01,Mostly Rural
18077,44.84,Mostly Urban
18079,54.33,Mostly Rural
18081,16.16,Mostly Urban
18083,34.65,Mostly Urban
18085,51.98,Mostly Rural
18087,89.81,Mostly Rural
18089,4.16,Mostly Urban
18091,33.78,Mostly Urban
18093,53.6,Mostly Rural
18095,22.3,Mostly Urban
18097,0.91,Mostly Urban
18099,62.28,Mostly Rural
18101,71.98,Mostly Rural
18103,47.55,Mostly Urban
18105,24.33,Mostly Urban
18107,54.09,Mostly Rural
18109,51.82,Mostly Rural
18111,97.9,Mostly Rural
18113,65.93,Mostly Rural
18115,100,Rural
18117,65.38,Mostly Rural
18119,100,Rural
18121,80.58,Mostly Rural
18123,48.19,Mostly Urban
18125,77.85,Mostly Rural
18127,21.29,Mostly Urban
18129,67.16,Mostly Rural
18131,80.35,Mostly Rural
18133,73.72,Mostly Rural
18135,60.45,Mostly Rural
18137,81.6,Mostly Rural
18139,57.78,Mostly Rural
18141,7.88,Mostly Urban
18143,47.04,Mostly Urban
18145,52.42,Mostly Rural
18147,100,Rural
18149,70.18,Mostly Rural
18151,69.45,Mostly Rural
18153,69.74,Mostly Rural
18155,100,Rural
18157,15.1,Mostly Urban
18159,60.53,Mostly Rural
18161,100,Rural
18163,8.78,Mostly Urban
18165,56.92,Mostly Rural
18167,23.81,Mostly Urban
18169,46.63,Mostly Urban
18171,100,Rural
18173,29.25,Mostly Urban
18175,74.97,Mostly Rural
18177,28.89,Mostly Urban
18179,47.98,Mostly Urban
18181,61.95,Mostly Rural
18183,73.51,Mostly Rural
19001,100,Rural
19003,100,Rural
19005,73.98,Mostly Rural
19007,57.5,Mostly Rural
19009,100,Rural
19011,68.11,Mostly Rural
19013,15.11,Mostly Urban
19015,49.24,Mostly Urban
19017,69.29,Mostly Rural
19019,70.2,Mostly Rural
19021,51.63,Mostly Rural
19023,100,Rural
19025,100,Rural
19027,51.62,Mostly Rural
19029,51.84,Mostly Rural
19031,81.86,Mostly Rural
19033,18.64,Mostly Urban
19035,60.44,Mostly Rural
19037,73.66,Mostly Rural
19039,50.86,Mostly Rural
19041,36.29,Mostly Urban
19043,94.51,Mostly Rural
19045,29.39,Mostly Urban
19047,60.66,Mostly Rural
